id	town	user	pop	latitude	longitude	code
1985	"Somogysamson"	115	752	46.587807	17.297096	1562
1986	"Somogysard"	289	1238	46.414097	17.597433	2872
1987	"Somogyszentpal"	70	761	46.641846	17.474069	660
1988	"Somogyszil"	179	719	46.5226	17.999033	341
1989	"Somogyszob"	490	1559	46.293527	17.294848	1854
1990	"Somogytur"	86	453	46.708825	17.76608	3260
1991	"Somogyudvarhely"	290	1073	46.181236	17.189257	485
1992	"Somogyvamos"	148	798	46.570645	17.683715	2185
1993	"Somogyvar"	460	1869	46.583909	17.645343	1944
1994	"Sonkad"	219	682	48.056413	22.752595	2388
1995	"Soponya"	458	2010	47.01386	18.454135	3332
1996	"Sopron"	30989	61390	47.681419	16.593319	851
1997	"Sopronhorpacs"	215	824	47.483012	16.733608	2909
1998	"Sopronkovesd"	325	1188	47.544628	16.74581	2572
1999	"Sopronnemeti"	94	265	47.536294	17.208725	261
2000	"Sopte"	138	805	47.283192	16.654051	2480
2001	"Sored"	119	505	47.321259	18.28124	289
2002	"Sormas"	160	865	46.460022	16.915731	656
2003	"Sorokpolany"	172	840	47.136872	16.679465	2969
2004	"Soshartyan"	74	959	48.071735	19.682165	1488
2005	"Soskut"	1175	3245	47.408091	18.832626	684
2006	"Sotony"	125	618	47.196452	16.94884	2298
2007	"Sukoro"	370	1295	47.237667	18.600982	1495
2008	"Sukosd"	1134	3693	46.28896	18.99324	2124
2009	"Sulysap"	2891	8292	47.454151	19.513691	2171
2010	"Sumeg"	2814	6190	46.978111	17.28137	2559
2011	"Sumegcsehi"	208	616	46.942982	17.217979	2139
2012	"Sumegpraga"	152	600	46.940521	17.277189	538
2013	"Sur"	371	1216	47.370205	18.028692	3199
2014	"Surd"	159	633	46.323568	16.970408	240
2015	"Sutto"	712	2016	47.757599	18.44767	868
2016	"Szabadbattyan"	1416	4525	47.1204	18.370303	2870
2017	"Szabadegyhaza"	697	2168	47.074253	18.686656	1325
2018	"Szabadhidveg"	170	838	46.823655	18.282615	1874
2019	"Szabadkigyos"	849	2696	46.60519	21.088818	3132
2020	"Szabadszallas"	2097	5896	46.87586	19.22174	2506
